"SalesOrderNumber","SalesOrderLineNumber","OrderDate","DueDate","DeliveryDate","StoreKey","ProductKey","PromotionKey","CurrencyKey","CustomerKey","Quantity","NetPrice","UnitCost","UnitPrice","DiscountAmount","DeliveryStatus","IsOrderDelayed"
"20231213841781","1","2023-12-13","2023-12-18","2023-12-18","291","380","1","1","22094","4","651.26","215.77","651.26","0.0","On Time","0"
"20230622815957","1","2023-06-22","2023-06-25","2023-06-25","466","998","1","1","24905","3","99.27","45.65","99.27","0.0","On Time","0"
"20230622815957","2","2023-06-22","2023-06-25","2023-06-25","445","783","1","1","24905","5","6.77","3.45","6.77","0.0","On Time","0"
"20250915572542","1","2025-09-15","2025-09-19","2025-09-19","381","1434","1","1","38240","7","134.36","61.79","134.36","0.0","On Time","0"
"20250915572542","2","2025-09-15","2025-09-19","2025-09-19","1","948","1","1","38240","5","94.25","43.34","94.25","0.0","On Time","0"
"20210201592003","1","2021-02-01","2021-02-08","2021-02-08","8","877","3","1","23792","9","54.75","21.59","65.15","10.4","On Time","0"
"20231115011737","1","2023-11-15","2023-11-19","2023-11-18","279","1365","1","1","21876","6","14.53","6.68","14.53","0.0","Early Delivery","0"
"20231212630851","1","2023-12-12","2023-12-19","2023-12-19","485","1400","1","1","37576","4","18.04","8.3","18.04","0.0","On Time","0"
"20231212630851","2","2023-12-12","2023-12-19","2023-12-19","27","231","1","1","37576","5","285.27","131.18","285.27","0.0","On Time","0"
"20250901350127","1","2025-09-01","2025-09-08","2025-09-09","313","167","1","1","29948","5","34.59","17.64","34.59","0.0","Delayed","1"
"20240908024843","1","2024-09-08","2024-09-14","2024-09-14","441","1901","1","1","4669","4","140.37","71.57","140.37","0.0","On Time","0"
"20240908024843","2","2024-09-08","2024-09-14","2024-09-14","212","1257","1","1","4669","3","16.92","10.22","20.05","3.13","On Time","0"
"20240908024843","3","2024-09-08","2024-09-14","2024-09-14","283","2321","1","1","4669","7","115.31","53.02","115.31","0.0","On Time","0"
"20240908024843","4","2024-09-08","2024-09-14","2024-09-14","406","197","1","1","4669","4","150.36","76.66","150.36","0.0","On Time","0"
"20240908024843","5","2024-09-08","2024-09-14","2024-09-14","180","294","1","1","4669","2","149.9","76.43","149.9","0.0","On Time","0"
"20220717795538","1","2022-07-17","2022-07-23","2022-07-23","357","2430","1","1","4137","4","16.49","8.41","16.49","0.0","On Time","0"
"20241116244994","1","2024-11-16","2024-11-23","2024-11-23","282","1343","1","1","10018","2","15.54","5.15","15.54","0.0","On Time","0"
"20210319465095","1","2021-03-19","2021-03-23","2021-03-27","142","334","6","1","26787","4","446.7","165.94","500.85","54.15","Delayed","1"
"20240519919728","1","2024-05-19","2024-05-24","2024-05-24","141","938","1","1","34065","4","49.63","25.3","49.63","0.0","On Time","0"
"20240519919728","2","2024-05-19","2024-05-24","2024-05-24","299","455","1","1","34065","3","440.06","152.65","460.74","20.68","On Time","0"
"20240519919728","3","2024-05-19","2024-05-24","2024-05-24","184","2042","1","1","34065","3","47.62","24.28","47.62","0.0","On Time","0"
"20240519919728","4","2024-05-19","2024-05-24","2024-05-22","394","646","1","1","34065","4","109.8","36.38","109.8","0.0","Early Delivery","0"
